"","V1"
"260",459.26585596408
"261",-230.773155385578
"262",1.20787967866844
"263",0.499981469704401
"264",79.8233885386389
"265",1.70663014945036
"266",5.2793972307456
"267",3.75213757950001
"268",1.922093541901
"269",22.8940672755647
"270",3.1447548281765
"271",751.527842233945
"272",3.60234192108754
"273",6.13802410017488
"274",229.701836081762
"275",-429.945439507168
"276",611.282819889855
"277",-568.293107203652
"278",8.33328206951696
"279",-455.423523270555
"280",1.21078866880867
"281",-192.221334343399
"282",114.271369706171
"283",1.60763257417057
"284",0.967445718238142
"285",297.585862999203
"286",1.90424676654421
"287",1183.17039110318
"288",742.685369471299
"289",455.09325999495
"290",434.251368456851
"291",77.5269351203447
"292",680.421107525599
"293",0.495703054731801
"294",57.6024957034999
"295",4.05204839420608
"296",717.949681225085
